keyword,count
climate change,102
climate crisis,70
Plato,61
Climate Academy,57
students,53
capitalism,47
India,45
democracy,38
Academy,31
Rousseau,31
history,30
media,29
Socrates,29
CUTx Index,27
UK,26
Anthropocene,26
carbon budget,25
planetary boundaries,24
greenhouse gases,22
Piraeus,22
tipping points,20
education,20
,19
innovation,19
UNFCCC,17
sustainability,16
UN,16
USA,16
human history,14
human civilisation,14
Civil Rights Movement,14
recycling,13
BBC,13
Tennis Court Oath,13
Pakistan,13
humans,12
Germany,12
climate anxiety,12
Athenians,12
psychology,11
greenhouse gas emissions,11
biodiversity,11
Bangladesh,11
East India Company,11
famine,11
culture,11
Rosa Parks,11
Kafka,11
Geometry,11
United Nations,10
sustainability crisis,10
children,10
grammar,10
fossil fuel industry,10
France,10
Wikipedia,10
schools,10
Philosophy,10
atmosphere,9
Physics,9
humanity,9
human rights,9
Robespierre,9
democracies,9
climate system,9
crisis,9
reality,9
young people,9
women,9
Athens,9
Academia,9
music,8
plastic waste,8
resilience,8
Industrial Revolution,8
vital statistics,8
fossil fuels,8
freedom,8
America,8
media coverage,8
China,8
truth,8
Mahler,8
Cephalus,8
Climate Anxiety,7
human civilization,7
Galileo,7
Holocene,7
CUTx index,7
global warming,7
climate science,7
resource extraction,7
human life,7
agriculture,7
modelling,7
Paris Agreement,7
cornflakes,7
democratic rule,7
EU,7
British,7
society,7
economic growth,7
systemic change,7
anxiety,7
grief,7
beliefs,6
greenhouse gas concentrations,6
biodiversity loss,6
human development,6
nuclear power,6
Thermodynamics,6
closed mass system,6
solar panels,6
circular economy,6
resource extractions,6
justice,6
plastics,6
French Revolution,6
human condition,6
index,6
paradigm,6
Emmett Till,6
Climate Change,6
GDP,6
God,6
guilt,6
art,5
mainstream science,5
Sweden,5
human society,5
Keeling Curve,5
biosphere,5
population,5
civilization,5
human population,5
Enlightenment,5
politics,5
Spaceship Earth,5
population growth,5
MAIN TEXT,5
existential crisis,5
UNEP,5
Capitalism,5
carbon capture,5
global economy,5
internet,5
World Meteorological Organization,5
Martin Luther King,5
inequality,5
public space,5
teachers,5
Economics,5
History,5
social media,5
Australia,5
CUTx,5
British rule,5
United Kingdom,5
racism,5
colonialism,5
extreme weather events,5
COP26,5
complex systems,5
Biology,5
DNA,5
tipping point,5
belief,5
science,5
school,5
human psychology,5
wisdom,5
leadership,5
literature,5
Sparta,5
prisoners,5
Metaphysics,5
golden ratio,5
bees,5
Mass Extinction Events,4
Cornflakes,4
average global temperature,4
natural world,4
natural disasters,4
Tipping Points,4
photosynthesis,4
Antarctica,4
astronauts,4
gold,4
International Resource Panel,4
nationalism,4
emissions,4
negative emissions,4
individual actions,4
legislation,4
infrastructure,4
symbolic order,4
nations,4
Democracy,4
existential threat,4
Piketty,4
populism,4
Geography,4
courage,4
famines,4
Third Reich,4
Europe,4
UHD nation,4
British Raj,4
Late Victorian Holocausts,4
Capitalocene,4
rice,4
UHD nations,4
transparency,4
social reality,4
rigidity trap,4
climate education,4
precautionary principle,4
Jet Stream,4
imagination,4
Boreal forests,4
Alaska,4
ozone layer,4
Uranus,4
law,4
Overton Window,4
IMF,4
NAACP,4
Psychology,4
Trojan Horse,4
Republicans,4
Aristotle,4
poetry,4
modernity,4
hot air balloon,4
mathematics,4
creativity,4
learning,4
Tennyson,4
western culture,4
The,4
irony,4
Climate Academy programme,4
civic engagement,4
Franz Kafka,4
civic space,4
Spartans,4
Adaptive Cycle,4
Student Book,3
Schools,3
educational system,3
sustainable development,3
ecological systems,3
human activity,3
polar bears,3
medical emergency,3
thermal energy,3
polar regions,3
change,3
problem framing,3
critical thinking,3
